,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-12-02Sale,2020-12-044:00 pm,MARRIOTT VACATIONS WORLDWIDE Corp,VAC,Cunningham R. LeeCOO,"4,301",$133.71,"$575,087","7,879(Direct)",View
2,2020-12-02Sale,2020-12-044:01 pm,SpartanNash Co,SPTN,JACKSON YVONNE RDirector,"2,652",$19.32,"$51,237","35,068(Direct)",View
3,2020-12-03Sale,2020-12-044:02 pm,BOSTON BEER CO INC,SAM,KOCH C JAMESChairman10% Owner,"10,000",$932.92,"$9,329,208","175,421(IndirectDirect)",View
4,2020-12-03Sale,2020-12-044:03 pm,APPIAN CORP,APPN,Kilberg Bobbie GDirector,"7,653",$138.5,"$1,059,941","1,502(IndirectDirect)",View
5,2020-12-04Sale,2020-12-044:04 pm,PARK OHIO HOLDINGS CORP,PKOH,AULETTA PATRICK VDirector,"3,850",$30.51,"$117,459","19,675(Direct)",View
6,2020-12-03Sale,2020-12-044:05 pm,DOLLAR TREE Inc,DLTR,SAUNDERS THOMAS ADirector,"18,434",$112.88,"$2,080,743","1,484(IndirectDirect)",View
7,2020-12-04Sale,2020-12-044:05 pm,WPX ENERGY Inc,WPX,FAULKNER STEPHEN L JRCAO,"25,000",$8.2478,"$206,195","47,296(Direct)",View
8,2020-12-02Sale,2020-12-044:05 pm,e.l.f. Beauty Inc.,ELF,AMIN TARANGCEO,"128,133",$22.49,"$2,881,134","2,712,483(IndirectDirect)",View
9,2020-12-02Sale,2020-12-044:06 pm,Fulgent Genetics Inc.,FLGT,KIM PAULCFO,"29,949",$46.58,"$1,395,133","202,183(Direct)",View
10,2020-12-01Sale,2020-12-044:06 pm,India Globalization Capital Inc.,IGC,PRINS RICHARD KDirector,"50,000",$2.04,"$102,000","745,000(Direct)",View
11,2020-12-02Sale,2020-12-044:10 pm,ServiceNow Inc.,NOW,LUDDY FREDERIC BDirector,"38,600",$526.23,"$20,312,603","55,200(IndirectDirect)",View
12,2020-12-02Sale,2020-12-044:11 pm,LINCOLN NATIONAL CORP,LNC,Fuller Wilford H.President,"110,375",$50.95,"$5,623,606","232,130(Direct)",View
13,2020-12-03Sale,2020-12-044:12 pm,Kinsale Capital Group Inc.,KNSL,Haney Brian D.COO,"4,000",$237.76,"$951,052","168,078(Direct)",View
14,2020-12-02Sale,2020-12-044:12 pm,MANHATTAN ASSOCIATES INC,MANH,Capel EddieCEO,"35,000",$102.4,"$3,584,049","280,873(Direct)",View
15,2020-12-02Sale,2020-12-044:12 pm,Interactive Brokers Group Inc.,IBKR,Brody Paul JonathanCFO,"4,989",$54.69,"$272,863","204,487(IndirectDirect)",View
16,2020-12-02Sale,2020-12-044:13 pm,BMC STOCK HOLDINGS Inc,BMCH,MAJOR JAMES F. JR.See Remarks,"79,177",$46.15,"$3,654,400","90,636(Direct)",View
17,2020-12-02Sale,2020-12-044:14 pm,Interactive Brokers Group Inc.,IBKR,Frank Thomas AJCIO,"35,728",$54.7,"$1,954,239","1,800,981(Direct)",View
18,2020-12-03Sale,2020-12-044:15 pm,GAMCO INVESTORS Inc,GBL,GABELLI MARIO JCEOChairman10% Owner,"12,241",$15.12,"$185,026","2,036,414(IndirectDirect)",View
19,2020-12-02Sale,2020-12-044:16 pm,VOLITIONRX LTD,VNRX,TERRELL JASON BRADLEY MDChief Medical Officer,"10,000",$3.4,"$34,000","44,949(Direct)",View
20,2020-12-02Sale,2020-12-044:17 pm,Burlington Stores Inc.,BURL,MAGRINI JOYCE MANNINGVP,"7,030",$225.03,"$1,581,961","5,745(Direct)",View
21,2020-11-24Sale,2020-12-044:19 pm,DMC Global Inc.,BOOM,CARIOU YVON PIERREDirector,"10,000",$44.51,"$445,100","115,130(Direct)",View
22,2020-12-02Sale,2020-12-044:20 pm,RAYMOND JAMES FINANCIAL INC,RJF,Santelli Jonathan NVP,"3,000",$94.4,"$283,212","3,197(IndirectDirect)",View
23,2020-12-03Sale,2020-12-044:20 pm,LOGITECH INTERNATIONAL S.A.,LOGI,Montgomery NeelaDirector,"3,500",$87.03,"$304,597","8,776(Direct)",View
