,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
1,2020-12-11Sale,2020-12-144:01 pm,BOSTON BEER CO INC,SAM,KOCH C JAMESChairman10% Owner,"10,000",$940.42,"$9,404,248","115,421(IndirectDirect)",View
2,2020-12-11Sale,2020-12-144:01 pm,Science Applications International Corp,SAIC,Mayopoulos Timothy JDirector,"2,185",$99.77,"$218,006","7,398(Direct)",View
3,2020-12-11Sale,2020-12-144:03 pm,Paylocity Holding Corp,PCTY,Sarowitz Steven IDirector10% Owner,"400,000",$180.5,"$72,200,000","12,770,538(Direct)",View
4,2020-12-10Sale,2020-12-144:04 pm,MASIMO CORP,MASI,KIANI JOE ECEOChairman,"42,664",$270.61,"$11,545,487","159,241(IndirectDirect)",View
5,2020-12-14Sale,2020-12-144:05 pm,Open Lending Corp,LPRO,Nebula Holdings LLCTrue Wind Capital L.P.True Wind Capital GP LLCCLAMMER ADAMGREENE JAMES H JR10% Owner,"4,413,671",$26.88,"$118,639,473","12,111,329(Direct)",View
6,2020-12-10Sale,2020-12-144:05 pm,Generation Bio Co.,GBIO,Stanton MatthewChief Scientific Officer,"10,540",$37.62,"$396,499","198,154(Direct)",View
7,2020-12-10Sale,2020-12-144:05 pm,SYSTEMAX INC,SYX,Clark Thomas EugeneCFO,"17,500",$36.11,"$631,873","18,666(Direct)",View
8,2020-12-11Sale,2020-12-144:05 pm,CORNERSTONE TOTAL RETURN FUND INC,CRF,WILCOX GLENN W SRDirector,241,$11.45,"$2,760","3,326(Direct)",View
9,2020-12-14Sale,2020-12-144:06 pm,Kinsale Capital Group Inc.,KNSL,Schnupp Diane D.CIO,300,$240.49,"$72,147","3,564(Direct)",View
10,2020-12-10Sale,2020-12-144:06 pm,Interactive Brokers Group Inc.,IBKR,Brody Paul JonathanCFO,"5,090",$55.13,"$280,615","189,471(IndirectDirect)",View
11,2020-12-14Sale,2020-12-144:06 pm,BROOKLINE BANCORP INC,BRKL,Cosman James MCOO,"2,867",$11.89,"$34,089","46,253(IndirectDirect)",View
12,2020-12-10Sale,2020-12-144:08 pm,Interactive Brokers Group Inc.,IBKR,Frank Thomas AJCIO,"36,509",$55.13,"$2,012,734","1,693,407(Direct)",View
13,2020-06-05Sale,2020-12-144:12 pm,SYSTEMAX INC,SYX,Litwin BarryCEO,"20,000",$35.78,"$715,680","58,929(Direct)",View
14,2020-12-10Sale,2020-12-144:12 pm,ILLUMINA Inc,ILMN,Ronaghi MostafaVP,"5,000",$338.58,"$1,692,922","80,162(Direct)",View
15,2020-12-10Sale,2020-12-144:12 pm,AMERICAN TOWER CORP,AMT,Meyer Robert Joseph JRCAO,"1,100",$220.21,"$242,231","29,698(Direct)",View
16,2020-12-10Sale,2020-12-144:12 pm,TEMPUR SEALY INTERNATIONAL Inc,TPX,MONTGOMERY DAVIDVP,"210,644",$25.34,"$5,338,562","908,084(Direct)",View
17,2020-12-11Sale,2020-12-144:13 pm,HighPoint Resources Corp,HPR,MOGG JIM WDirector,"6,169",$12.55,"$77,415","1,996(Direct)",View
18,2020-12-11Sale,2020-12-144:14 pm,AMERICOLD REALTY TRUST,COLD,Harron James AndrewCIO,"5,000",$33.58,"$167,915",918(Direct),View
19,2020-12-10Sale,2020-12-144:15 pm,SolarWinds Corp,SWI,NB Alternatives Advisers LLCNB Crossroads XX - MC Holdings LPNB Crossroads XXI - MC Holdings LPNB - Iowa's Public Universities LPNB PEP Holdings LtdNB RP Co-Investment & Secondary Fund LLCNB Sonoran Fund Limited PartnershipNB Wildcats Fund LP10% Owner,"289,066",$21.97,"$6,350,780","4,959,467(Indirect)",View
20,2020-12-10Sale,2020-12-144:15 pm,SolarWinds Corp,SWI,HOWARD HUGHES MEDICAL INSTITUTEHHMI is a member of 10% group,"28,907",$21.97,"$635,087","495,946(Direct)",View
21,2020-12-03Sale,2020-12-144:15 pm,POWER SOLUTIONS INTERNATIONAL Inc,PSIX,Winemaster Gary S10% Owner,"13,001",$3.0814,"$40,061","3,426,521(Direct)",View
22,2020-12-10Sale,2020-12-144:15 pm,Fortune Brands Home & Security Inc.,FBHS,Hallinan Patrick DCFO,750,$83.55,"$62,662","40,438(Direct)",View
23,2020-12-11Sale,2020-12-144:16 pm,SIRIUS XM HOLDINGS Inc,SIRI,MEYER JAMES ECEO,"1,772,297",$6.377,"$11,301,938","8,831,329(Direct)",View
24,2020-12-10Sale,2020-12-144:16 pm,SYSTEMAX INC,SYX,DOOLEY ROBERTPresident,"10,000",$36.11,"$361,090","86,878(Direct)",View
25,2020-12-10Sale,2020-12-144:16 pm,TRANSCAT INC,TRNS,Rudow Lee D.CEO,400,$35.25,"$14,100","171,187(Direct)",View
26,2020-12-10Sale,2020-12-144:18 pm,CAPITAL ONE FINANCIAL CORP,COF,Berson Jory AChief Human Resources Officer,"67,929",$94.76,"$6,436,777","51,301(IndirectDirect)",View
27,2020-12-10Sale,2020-12-144:19 pm,REGENXBIO Inc.,RGNX,Mills Kenneth T.CEO,"4,500",$40,"$180,000","241,000(Direct)",View
28,2020-12-10Sale,2020-12-144:20 pm,SolarWinds Corp,SWI,NB Strategic Co-Investment Partners II Holdings LPNeuberger Berman Insurance Fund Series Interests of the SALI Multi-Series Fund L.P.TfL Trustee Co Ltd10% Owner,"289,066",$21.97,"$6,350,780","4,959,467(Indirect)",View
29,2020-12-10Sale,2020-12-144:20 pm,REGENXBIO Inc.,RGNX,Vasista VittalCFO,"37,500",$40.1,"$1,503,891","157,524(Direct)",View
30,2020-12-10Sale,2020-12-144:21 pm,Myovant Sciences Ltd.,MYOV,Arjona Ferreira Juan CamiloChief Medical Officer,"10,000",$26.04,"$260,362","136,048(Direct)",View
31,2020-12-11Sale,2020-12-144:26 pm,HOULIHAN LOKEY Inc,HLI,GOLD IRWINChairman10% Owner,"10,000",$70.24,"$702,400",0(Direct),View
32,2020-12-11Sale,2020-12-144:27 pm,WOLVERINE WORLD WIDE INC,WWW,Stornant Michael DCFO,"1,000",$30.64,"$30,640","140,108(IndirectDirect)",View
33,2020-12-10Sale,2020-12-144:27 pm,CRYOLIFE INC,CRY,LEE DAVID ASHLEYCFOCOO,"16,666",$23,"$383,318","282,567(Direct)",View
34,2020-12-10Sale,2020-12-144:27 pm,DOUGLAS DYNAMICS INC,PLOW,Hagelin KeithPresident,"10,325",$42.15,"$435,200","75,787(Direct)",View
35,2020-12-10Sale,2020-12-144:27 pm,VEEVA SYSTEMS INC,VEEV,MATEO ALANVP,"2,347",$258.11,"$605,784","10,264(Direct)",View
36,2020-12-11Sale,2020-12-144:29 pm,Moderna Inc.,MRNA,Bancel StephaneCEO,"11,046",$159.18,"$1,758,291","265,120(IndirectDirect)",View
37,2020-12-10Sale,2020-12-144:30 pm,SolarWinds Corp,SWI,HERMES USA INVESTORS VENTURE II LPSee Remarks,"57,813",$21.97,"$1,270,152","991,894(Direct)",View
38,2020-12-10Sale,2020-12-144:30 pm,Y-mAbs Therapeutics Inc.,YMAB,Gad ThomasDirector,"100,000",$50.96,"$5,096,260",0(IndirectDirect),View
39,2020-12-10Sale,2020-12-144:32 pm,US Foods Holding Corp.,USFD,Lederer John AnthonyDirector,"25,000",$34,"$850,025","118,593(Direct)",View
40,2020-05-06Sale,2020-12-144:33 pm,MARSH & MCLENNAN COMPANIES Inc,MMC,Glaser Daniel SCEO,"314,516",$115.39,"$36,291,562","101,074(IndirectDirect)",View
